Map:
20
21
Textures {
001:DirtPYNY.bmp
002:DirtPYNX.bmp
003:Grass.bmp
004:Dirt.bmp
005:DirtPXNX.bmp
006:DirtPXNXPYNY.bmp
}
Tiles {
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 002:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 003:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 002:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 003:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
005:1, 006:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 006:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 002:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 005:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 003:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
003:1, 003:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1, 003:1, 003:1, 003:1, 003:1, 001:1
}
